area_id,area_name,area_level,area_level_label,age_group,year,time_step,plot,value
MWI,Malawi - Demo,0,Country,Y015_049,2011,annual,anc_clients,328942
MWI,Malawi - Demo,0,Country,Y015_049,2011,annual,anc_known_pos,6618
MWI,Malawi - Demo,0,Country,Y015_049,2011,annual,anc_already_art,0
MWI,Malawi - Demo,0,Country,Y015_049,2011,annual,anc_tested,248492
MWI,Malawi - Demo,0,Country,Y015_049,2011,annual,anc_tested_pos,15039
MWI,Malawi - Demo,0,Country,Y015_049,2011,annual,anc_total_pos,21657
MWI,Malawi - Demo,0,Country,Y015_049,2011,annual,anc_status,255110
MWI,Malawi - Demo,0,Country,Y015_049,2011,annual,anc_prevalence,0.08489279134491004
MWI,Malawi - Demo,0,Country,Y015_049,2011,annual,anc_art_among_known,0
MWI,Malawi - Demo,0,Country,Y015_049,2011,annual,anc_art_coverage,0
MWI,Malawi - Demo,0,Country,Y015_049,2012,annual,anc_clients,636483
MWI,Malawi - Demo,0,Country,Y015_049,2012,annual,anc_known_pos,14881
MWI,Malawi - Demo,0,Country,Y015_049,2012,annual,anc_already_art,9095
MWI,Malawi - Demo,0,Country,Y015_049,2012,annual,anc_tested,444289
MWI,Malawi - Demo,0,Country,Y015_049,2012,annual,anc_tested_pos,25600
MWI,Malawi - Demo,0,Country,Y015_049,2012,annual,anc_total_pos,40481
MWI,Malawi - Demo,0,Country,Y015_049,2012,annual,anc_status,459170
MWI,Malawi - Demo,0,Country,Y015_049,2012,annual,anc_prevalence,0.08816124746825794
MWI,Malawi - Demo,0,Country,Y015_049,2012,annual,anc_art_among_known,0.6111820442174585
MWI,Malawi - Demo,0,Country,Y015_049,2012,annual,anc_art_coverage,0.22467330352511056
MWI,Malawi - Demo,0,Country,Y015_049,2013,annual,anc_clients,622125
MWI,Malawi - Demo,0,Country,Y015_049,2013,annual,anc_known_pos,15747
MWI,Malawi - Demo,0,Country,Y015_049,2013,annual,anc_already_art,13296
MWI,Malawi - Demo,0,Country,Y015_049,2013,annual,anc_tested,482646
MWI,Malawi - Demo,0,Country,Y015_049,2013,annual,anc_tested_pos,24223
MWI,Malawi - Demo,0,Country,Y015_049,2013,annual,anc_total_pos,39970
MWI,Malawi - Demo,0,Country,Y015_049,2013,annual,anc_status,498393
MWI,Malawi - Demo,0,Country,Y015_049,2013,annual,anc_prevalence,0.08019775558645487
MWI,Malawi - Demo,0,Country,Y015_049,2013,annual,anc_art_among_known,0.8443513050104782
MWI,Malawi - Demo,0,Country,Y015_049,2013,annual,anc_art_coverage,0.3326494871153365
MWI,Malawi - Demo,0,Country,Y015_049,2014,annual,anc_clients,608501
MWI,Malawi - Demo,0,Country,Y015_049,2014,annual,anc_known_pos,18724
MWI,Malawi - Demo,0,Country,Y015_049,2014,annual,anc_already_art,16574
MWI,Malawi - Demo,0,Country,Y015_049,2014,annual,anc_tested,502776
MWI,Malawi - Demo,0,Country,Y015_049,2014,annual,anc_tested_pos,21484
MWI,Malawi - Demo,0,Country,Y015_049,2014,annual,anc_total_pos,40208
MWI,Malawi - Demo,0,Country,Y015_049,2014,annual,anc_status,521500
MWI,Malawi - Demo,0,Country,Y015_049,2014,annual,anc_prevalence,0.0771006711409396
MWI,Malawi - Demo,0,Country,Y015_049,2014,annual,anc_art_among_known,0.8851741080965606
MWI,Malawi - Demo,0,Country,Y015_049,2014,annual,anc_art_coverage,0.4122065260644648
MWI,Malawi - Demo,0,Country,Y015_049,2015,annual,anc_clients,626930
MWI,Malawi - Demo,0,Country,Y015_049,2015,annual,anc_known_pos,22838
MWI,Malawi - Demo,0,Country,Y015_049,2015,annual,anc_already_art,20411
MWI,Malawi - Demo,0,Country,Y015_049,2015,annual,anc_tested,548200
MWI,Malawi - Demo,0,Country,Y015_049,2015,annual,anc_tested_pos,21451
MWI,Malawi - Demo,0,Country,Y015_049,2015,annual,anc_total_pos,44289
MWI,Malawi - Demo,0,Country,Y015_049,2015,annual,anc_status,571038
MWI,Malawi - Demo,0,Country,Y015_049,2015,annual,anc_prevalence,0.077558761413426075
MWI,Malawi - Demo,0,Country,Y015_049,2015,annual,anc_art_among_known,0.8937297486645065
MWI,Malawi - Demo,0,Country,Y015_049,2015,annual,anc_art_coverage,0.46085935559619773
MWI,Malawi - Demo,0,Country,Y015_049,2016,annual,anc_clients,610493
MWI,Malawi - Demo,0,Country,Y015_049,2016,annual,anc_known_pos,24423
MWI,Malawi - Demo,0,Country,Y015_049,2016,annual,anc_already_art,22627
MWI,Malawi - Demo,0,Country,Y015_049,2016,annual,anc_tested,559563
MWI,Malawi - Demo,0,Country,Y015_049,2016,annual,anc_tested_pos,20780
MWI,Malawi - Demo,0,Country,Y015_049,2016,annual,anc_total_pos,45203
MWI,Malawi - Demo,0,Country,Y015_049,2016,annual,anc_status,583986
MWI,Malawi - Demo,0,Country,Y015_049,2016,annual,anc_prevalence,0.0774042528416777
MWI,Malawi - Demo,0,Country,Y015_049,2016,annual,anc_art_among_known,0.9264627605126315
MWI,Malawi - Demo,0,Country,Y015_049,2016,annual,anc_art_coverage,0.5005641218503196
MWI,Malawi - Demo,0,Country,Y015_049,2017,annual,anc_clients,622539
MWI,Malawi - Demo,0,Country,Y015_049,2017,annual,anc_known_pos,27309
MWI,Malawi - Demo,0,Country,Y015_049,2017,annual,anc_already_art,26588
MWI,Malawi - Demo,0,Country,Y015_049,2017,annual,anc_tested,578354
MWI,Malawi - Demo,0,Country,Y015_049,2017,annual,anc_tested_pos,18408
MWI,Malawi - Demo,0,Country,Y015_049,2017,annual,anc_total_pos,45717
MWI,Malawi - Demo,0,Country,Y015_049,2017,annual,anc_status,605663
MWI,Malawi - Demo,0,Country,Y015_049,2017,annual,anc_prevalence,0.07548257034027174
MWI,Malawi - Demo,0,Country,Y015_049,2017,annual,anc_art_among_known,0.9735984473982936
MWI,Malawi - Demo,0,Country,Y015_049,2017,annual,anc_art_coverage,0.581577968808102
MWI,Malawi - Demo,0,Country,Y015_049,2018,annual,anc_clients,499778
MWI,Malawi - Demo,0,Country,Y015_049,2018,annual,anc_known_pos,23715
MWI,Malawi - Demo,0,Country,Y015_049,2018,annual,anc_already_art,23304
MWI,Malawi - Demo,0,Country,Y015_049,2018,annual,anc_tested,467599
MWI,Malawi - Demo,0,Country,Y015_049,2018,annual,anc_tested_pos,12373
MWI,Malawi - Demo,0,Country,Y015_049,2018,annual,anc_total_pos,36088
MWI,Malawi - Demo,0,Country,Y015_049,2018,annual,anc_status,491314
