indicator,survey_id,survey_mid_calendar_quarter,area_id,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
prevalence,MWI2004DHS,CY2004Q4,MWI,all,both,Y015_019,392,1000,655.649788162426,0.021035708925082,0.004860171399238,0.013349435471611,0.03299953023935
prevalence,MWI2004DHS,CY2004Q4,MWI,all,both,Y015_024,477,2116,1302.26859773803,0.060194221948039,0.006004860718438,0.049447012485244,0.07309768601889
prevalence,MWI2004DHS,CY2004Q4,MWI,all,both,Y015_049,512,5136,3125.68784797827,0.118309338571087,0.006909678706379,0.105423273370733,0.13253713057224
prevalence,MWI2004DHS,CY2004Q4,MWI,all,both,Y020_024,419,1116,652.652166029548,0.094519387862934,0.010178818590485,0.076367110600557,0.116442456374234
prevalence,MWI2004DHS,CY2004Q4,MWI,all,both,Y025_029,402,985,584.067224174992,0.125852120585038,0.012954939609586,0.102574276279804,0.153508944241548
prevalence,MWI2004DHS,CY2004Q4,MWI,all,both,Y025_034,476,1728,1037.10565262307,0.15525311727279,0.012247958224025,0.132731566095154,0.180799420493994
prevalence,MWI2004DHS,CY2004Q4,MWI,all,both,Y030_034,372,743,453.121474740187,0.192473746535423,0.018681630309661,0.158478344041481,0.231753237507398
prevalence,MWI2004DHS,CY2004Q4,MWI,all,both,Y035_039,309,500,301.051630670476,0.177163112215217,0.021901977938853,0.138219286094185,0.22422458684544
prevalence,MWI2004DHS,CY2004Q4,MWI,all,both,Y035_049,432,1292,789.117001648446,0.160241396076068,0.013218553935674,0.135994458818634,0.187871387183144
prevalence,MWI2004DHS,CY2004Q4,MWI,all,both,Y040_044,288,473,301.207067639706,0.171621105603562,0.020947609345561,0.134357024646599,0.21663394958098
prevalence,MWI2004DHS,CY2004Q4,MWI,all,both,Y045_049,226,319,188.054860118875,0.115655650893973,0.019442057859556,0.082656063926125,0.159538715426345
prevalence,MWI2004DHS,CY2004Q4,MWI,all,male,Y015_019,267,455,304.404075457507,0.004065178832532,0.002958262778254,0.000973803129645,0.01680516481809
prevalence,MWI2004DHS,CY2004Q4,MWI,all,male,Y015_024,376,880,552.17093398207,0.020889368629399,0.005472440213847,0.012470807031988,0.03479076261143
prevalence,MWI2004DHS,CY2004Q4,MWI,all,male,Y015_049,499,2272,1358.97824773131,0.102104790682197,0.008914639892474,0.085909516835557,0.120949154499255
prevalence,MWI2004DHS,CY2004Q4,MWI,all,male,Y020_024,276,425,250.474985745828,0.038664701347639,0.010713910269927,0.022349644728547,0.066084564653786
prevalence,MWI2004DHS,CY2004Q4,MWI,all,male,Y025_029,294,458,260.778684398439,0.098105227462368,0.016354228197494,0.070389254562174,0.135147865097115
prevalence,MWI2004DHS,CY2004Q4,MWI,all,male,Y025_034,384,813,481.988082829112,0.144415902078174,0.016415673520467,0.115119701733892,0.179653888069666
prevalence,MWI2004DHS,CY2004Q4,MWI,all,male,Y030_034,243,355,222.120690323488,0.203764568234367,0.028603218642258,0.153362881378733,0.265535321350916
prevalence,MWI2004DHS,CY2004Q4,MWI,all,male,Y035_039,183,223,122.38769365387,0.184163584499259,0.032782280644658,0.128304758306486,0.257166651763687
prevalence,MWI2004DHS,CY2004Q4,MWI,all,male,Y035_049,338,579,332.147792077408,0.156823604977618,0.018598723601961,0.123712699519625,0.196806124231319
prevalence,MWI2004DHS,CY2004Q4,MWI,all,male,Y040_044,181,228,143.718340665784,0.164539748783098,0.030366126320473,0.113268240629711,0.23292331679859
prevalence,MWI2004DHS,CY2004Q4,MWI,all,male,Y045_049,108,128,70.236578439748,0.094806752615295,0.027065053496718,0.053432002099717,0.162712497134382
prevalence,MWI2004DHS,CY2004Q4,MWI,all,male,Y050_054,112,132,92.3413363632583,0.10548248030156,0.03163014097352,0.057607895677707,0.185319080526143
prevalence,MWI2004DHS,CY2004Q4,MWI,all,female,Y015_019,310,545,352.252039158034,0.036896760532051,0.008832327528479,0.022995645003286,0.058696393109746
prevalence,MWI2004DHS,CY2004Q4,MWI,all,female,Y015_024,436,1236,751.407621415688,0.090983050647067,0.009088577442639,0.074669893978791,0.110434804644364
prevalence,MWI2004DHS,CY2004Q4,MWI,all,female,Y015_049,502,2864,1795.84492154726,0.133181940785107,0.007947639938681,0.118360903721508,0.149544059097933
prevalence,MWI2004DHS,CY2004Q4,MWI,all,female,Y020_024,360,691,403.025886745495,0.131882334237918,0.015504492678637,0.104346054396146,0.165343794717731
prevalence,MWI2004DHS,CY2004Q4,MWI,all,female,Y025_029,316,527,338.868078903993,0.155416112608967,0.018000747402315,0.123302674310037,0.194042127401495
prevalence,MWI2004DHS,CY2004Q4,MWI,all,female,Y025_034,415,915,567.147559285935,0.166672906583386,0.014669710321555,0.139866172769586,0.197438073162264
prevalence,MWI2004DHS,CY2004Q4,MWI,all,female,Y030_034,265,388,231.739432492109,0.180741511935645,0.022649633568577,0.140501500819981,0.229429989284375
prevalence,MWI2004DHS,CY2004Q4,MWI,all,female,Y035_039,210,277,197.914048342329,0.170022052693717,0.024402899369703,0.127370935155882,0.223300528168083
